Image1,Image2,score
1_P1_S1_1.jpg,1_P1_S1_1.jpg,1.0
1_P1_S1_1.jpg,1_P1_S1_2.jpg,0.0
1_P1_S1_1.jpg,1_P1_S1_3.jpg,0.0
1_P1_S1_1.jpg,1_P1_S1_4.jpg,0.0
1_P1_S1_1.jpg,1_P1_S1_5.jpg,0.04
1_P1_S1_1.jpg,1_P1_S2_1.jpg,0.0
1_P1_S1_1.jpg,1_P1_S2_2.jpg,0.125
1_P1_S1_1.jpg,1_P1_S2_3.jpg,1.0
1_P1_S1_1.jpg,1_P1_S2_4.jpg,0.0
1_P1_S1_1.jpg,1_P1_S2_5.jpg,0.15384615384615385
1_P1_S1_1.jpg,1_P2_S1_1.jpg,0.0
1_P1_S1_1.jpg,1_P2_S1_2.jpg,0.04
1_P1_S1_1.jpg,1_P2_S1_3.jpg,0.0
1_P1_S1_1.jpg,1_P2_S1_4.jpg,0.0
1_P1_S1_1.jpg,1_P2_S1_5.jpg,0.0
1_P1_S1_1.jpg,1_P2_S2_1.jpg,0.04
1_P1_S1_1.jpg,1_P2_S2_2.jpg,0.0
1_P1_S1_1.jpg,1_P2_S2_3.jpg,0.0
1_P1_S1_1.jpg,1_P2_S2_4.jpg,0.0
1_P1_S1_1.jpg,1_P2_S2_5.jpg,0.08
1_P1_S1_2.jpg,1_P1_S1_1.jpg,0.0
1_P1_S1_2.jpg,1_P1_S1_2.jpg,1.0
1_P1_S1_2.jpg,1_P1_S1_3.jpg,0.0
1_P1_S1_2.jpg,1_P1_S1_4.jpg,0.0
1_P1_S1_2.jpg,1_P1_S1_5.jpg,0.0
1_P1_S1_2.jpg,1_P1_S2_1.jpg,0.0
1_P1_S1_2.jpg,1_P1_S2_2.jpg,0.0
1_P1_S1_2.jpg,1_P1_S2_3.jpg,0.0
1_P1_S1_2.jpg,1_P1_S2_4.jpg,0.0
1_P1_S1_2.jpg,1_P1_S2_5.jpg,0.0
1_P1_S1_2.jpg,1_P2_S1_1.jpg,0.0
1_P1_S1_2.jpg,1_P2_S1_2.jpg,0.3333333333333333
1_P1_S1_2.jpg,1_P2_S1_3.jpg,0.0
1_P1_S1_2.jpg,1_P2_S1_4.jpg,0.0
1_P1_S1_2.jpg,1_P2_S1_5.jpg,0.0
1_P1_S1_2.jpg,1_P2_S2_1.jpg,0.0
1_P1_S1_2.jpg,1_P2_S2_2.jpg,0.0
1_P1_S1_2.jpg,1_P2_S2_3.jpg,0.0
1_P1_S1_2.jpg,1_P2_S2_4.jpg,0.0
1_P1_S1_2.jpg,1_P2_S2_5.jpg,0.0
1_P1_S1_3.jpg,1_P1_S1_1.jpg,0.0
1_P1_S1_3.jpg,1_P1_S1_2.jpg,0.0
1_P1_S1_3.jpg,1_P1_S1_3.jpg,1.0
1_P1_S1_3.jpg,1_P1_S1_4.jpg,0.0
1_P1_S1_3.jpg,1_P1_S1_5.jpg,0.0
1_P1_S1_3.jpg,1_P1_S2_1.jpg,0.14285714285714285
1_P1_S1_3.jpg,1_P1_S2_2.jpg,0.0
1_P1_S1_3.jpg,1_P1_S2_3.jpg,0.0
1_P1_S1_3.jpg,1_P1_S2_4.jpg,0.0
1_P1_S1_3.jpg,1_P1_S2_5.jpg,0.14285714285714285
1_P1_S1_3.jpg,1_P2_S1_1.jpg,0.0
1_P1_S1_3.jpg,1_P2_S1_2.jpg,0.0
1_P1_S1_3.jpg,1_P2_S1_3.jpg,0.0
1_P1_S1_3.jpg,1_P2_S1_4.jpg,0.0
1_P1_S1_3.jpg,1_P2_S1_5.jpg,0.0
1_P1_S1_3.jpg,1_P2_S2_1.jpg,0.14285714285714285
1_P1_S1_3.jpg,1_P2_S2_2.jpg,0.0
1_P1_S1_3.jpg,1_P2_S2_3.jpg,0.0
1_P1_S1_3.jpg,1_P2_S2_4.jpg,0.0
1_P1_S1_3.jpg,1_P2_S2_5.jpg,0.0
1_P1_S1_4.jpg,1_P1_S1_1.jpg,0.32
1_P1_S1_4.jpg,1_P1_S1_2.jpg,0.0
1_P1_S1_4.jpg,1_P1_S1_3.jpg,0.0
1_P1_S1_4.jpg,1_P1_S1_4.jpg,1.0
1_P1_S1_4.jpg,1_P1_S1_5.jpg,0.08641975308641975
1_P1_S1_4.jpg,1_P1_S2_1.jpg,0.375
1_P1_S1_4.jpg,1_P1_S2_2.jpg,1.0
1_P1_S1_4.jpg,1_P1_S2_3.jpg,5.4
1_P1_S1_4.jpg,1_P1_S2_4.jpg,0.6666666666666666
1_P1_S1_4.jpg,1_P1_S2_5.jpg,0.07692307692307693
1_P1_S1_4.jpg,1_P2_S1_1.jpg,0.11842105263157894
1_P1_S1_4.jpg,1_P2_S1_2.jpg,0.05405405405405406
1_P1_S1_4.jpg,1_P2_S1_3.jpg,0.0
1_P1_S1_4.jpg,1_P2_S1_4.jpg,0.2
1_P1_S1_4.jpg,1_P2_S1_5.jpg,0.17647058823529413
1_P1_S1_4.jpg,1_P2_S2_1.jpg,0.23333333333333334
1_P1_S1_4.jpg,1_P2_S2_2.jpg,0.41935483870967744
1_P1_S1_4.jpg,1_P2_S2_3.jpg,0.0
1_P1_S1_4.jpg,1_P2_S2_4.jpg,0.0
1_P1_S1_4.jpg,1_P2_S2_5.jpg,0.04477611940298507
1_P1_S1_5.jpg,1_P1_S1_1.jpg,0.2
1_P1_S1_5.jpg,1_P1_S1_2.jpg,0.16666666666666666
1_P1_S1_5.jpg,1_P1_S1_3.jpg,0.0
